Événement ID;Date Événement;Code Événement;Libellé Événement;Id Offre;Titre Offre;Date Publication Offre;Offre publiée ?;Code Domaine;Libellé Domaine;Code Opérateur;Libellé Opérateur;Utilisateur ID;Tenant ID
5920;2025-04-04T19:51:31.344377;CST;Consultation;293;Chef de Groupe Département Contrôle et Intervention (H/F);2025-04-03T18:05:38.638248;true;ML;Modes lourds;RATPLY;RATP DEV LYON;6;b87cc266-09c4-40cc-8dfa-c92e08bf9cb4
5919;2025-04-04T17:30:10.270659;CST;Consultation;293;Chef de Groupe Département Contrôle et Intervention (H/F);2025-04-03T18:05:38.638248;true;ML;Modes lourds;RATPLY;RATP DEV LYON;6;b87cc266-09c4-40cc-8dfa-c92e08bf9cb4
5918;2025-04-04T17:24:18.623422;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5917;2025-04-04T17:24:18.277774;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5916;2025-04-04T17:24:17.89036;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5915;2025-04-04T17:24:17.565119;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5914;2025-04-04T17:24:17.192792;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5913;2025-04-04T17:24:16.792834;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5912;2025-04-04T17:24:15.898534;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5911;2025-04-04T17:24:14.390708;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5910;2025-04-04T17:24:13.794364;CDT;Candidature;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5909;2025-04-04T17:24:09.163286;CST;Consultation;245;Conducteur de tramway H/F;2025-01-28T08:05:44.161333;false;ML;Modes lourds;RATPLY;RATP DEV LYON;0;
5908;2025-04-04T16:54:16.371296;CST;Consultation;196;Alternant Conduite/Contrôleur DCI F/H;2025-01-11T16:45:14.238606;true;BT;Bus et Trolleybus;KEOLY;KEOLIS LYON;0;
